id,subject,body,proposed_category,expected_accepted,predicted_accepted,judge_decision,judge_reasoning,decision_correct
promotions_1253,Anniversary Special: Buy one get one free,Your favorite items are back. Don't wait: example.com/1208 Use code SAVE50 for 40% off.,promotions,True,True,accept,"This is a marketing offer with a buy-one-get-one deal and discount code, so promotions is the correct category.",True
promotions_1108,"Refer friends, get $15 credit",Discover {items}. Shop new styles: example.com/5483 Code FLASH60 for extra 40% off.,promotions,True,True,accept,"This is a marketing offer with referral credit, shopping promotion, and discount code, so promotions is the correct category.",True
forum_1670,Moderation notice: Community Guidelines update,Database upgrade completed successfully. New features: new search and notifications. FAQ: support.site/ticket/456.,updates,False,False,reject,"This is better classified as forum, since the subject is a moderation/community guidelines notice rather than a general system update.",True
verify_code_1628,Temporary security pass: 983866,"For account verification, enter: 229149. Do not share this number.",verify_code,True,True,accept,"This email provides a one-time verification code for account verification, so verify_code is the correct category.",True
spam_142,Verizon Payment Overdue,Service disconnection imminent. Pay $89.99: verizon-payment-now.tel Account#: VZ-772B.,updates,False,False,reject,This is not a legitimate account update; it looks like a phishing/payment scam with a suspicious link and urgent threat language. Correct category: spam.,True
updates_2089,Software update available (v3.1),"Car Rental Main pool closed Aug 20-22 for maintenance, Aug 15, 2-4AM PST. {assignment} confirmed. Manage booking: company.com/updates.",social_media,False,False,reject,"This is not a social network activity notice. It is an informational booking/maintenance notice, so the correct category is updates.",True
forum_979,Event reminder: Meetup,"You earned ""Achievement 2"" badge. View profile: forum.com/thread/123.",social_media,False,False,reject,"This is a community/forum notification about a badge/profile activity, so the correct category is forum, not social_media.",True
verify_code_871,Temporary PIN: 603613,"Token: 713300 expires at 14:30 GMT. For support, contact support@service.com.",spam,False,False,reject,"This is a one-time authentication code/PIN with an expiration time, so the correct category is verify_code, not spam.",True
spam_1371,Missed delivery confirmation EF-789,Your $1000 refund is processed. Claim: bit.ly/fakeprize Complete within 2hrshrs.,social_media,False,False,reject,"This is not a social media notification; it is a deceptive refund/claim message with a suspicious link, so the correct category is spam.",True
updates_71,Digital Twin City Infrastructure Scan,CityModel_2024_V2 completed. Point cloud access: urban-simulation.data API documentation.,updates,True,True,accept,"This is an informational system/data completion notice with access details, so updates is the best fit.",True
verify_code_515,New device approval: 383921,"Enter 229149 to confirm password reset. If you didn't request this, ignore.",verify_code,True,True,accept,"This is a one-time verification code for confirming a password reset, so verify_code is the correct category.",True
updates_1664,"Appointment reminder: Haircut, Dec 20 1-3AM EST",Your September statement is available. View/download: banking.com/statements No action needed if payment scheduled.,verify_code,False,False,reject,"This is not a verification code email; it is an informational account notice about a statement/payment, so the correct category is updates.",True
forum_1900,Mod application open for Book Club,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: support.site/ticket/456.,forum,True,True,accept,"This is a community/moderation notice about a book club forum with revised rules, so forum is the best fit.",True
promotions_180,Elite Tier Upgrade: $100 Welcome Bonus,"New Platinum members receive instant credit: loyaltyprogram.com/upgrade-offer. Enjoy complimentary shipping, extended returns, and personal shopper service. Status match available.",promotions,True,True,accept,"This is a marketing offer promoting a tier upgrade and welcome bonus, so promotions is the best fit.",True
updates_2096,Auto-payment failed for subscription,We've updated our Privacy Policy. Review changes: company.com/updates Effective Nov 12.,social_media,False,False,reject,"This is not a social network activity notice; it is an informational policy notice, so the correct category is updates.",True
spam_976,Amazon investment opportunity 300% ROI,"Immediate action required! Your subscription payment failed. Update payment: scam-delivery.com Or call ""support"": 888-SCAM.",spam,True,True,accept,"This is a deceptive phishing/scam message using a fake payment failure and suspicious link/callback, so spam is the correct category.",True
promotions_793,Early access: Clearance event start now,Celebrate with 50% off entire purchase. Valid 72: example.com/3311 Code: BIRTHDAY.,promotions,True,True,accept,"This is a marketing offer advertising a clearance event and discount code, so promotions is the correct category.",True
promotions_2102,Last chance: Black Friday in July,Discover {items}. Shop new styles: example.com/3390 Code SAVE50 for extra 40% off.,spam,False,False,reject,"This is a marketing discount offer promoting products, so the correct category is promotions, not spam.",True
verify_code_1969,Temporary PIN: 404583,Use this code: 907472 to complete sign-in. Expires in 10 minutes.,verify_code,True,True,accept,"This email contains a temporary sign-in PIN/verification code with an expiration time, so verify_code is the correct category.",True
promotions_1519,New arrivals: Fall fashion live,Discover {items}. Shop new styles: example.com/6093 Code SAVE50 for extra 30% off.,spam,False,False,reject,"This is a marketing promotion for new fashion items with a discount code, so the correct category is promotions, not spam.",True
verify_code_1624,Twitter Authenticator: 426706,PIN 748435 required for account verification on Microsoft.,verify_code,True,True,accept,"This email contains a one-time verification PIN for account authentication, so verify_code is the best fit.",True
spam_1239,You've been selected for cruise,See who messaged you on Amazon! View now: bit.ly/fakeprize Special offer: 80% off membership.,verify_code,False,False,reject,"This is not an authentication or verification code email. It contains deceptive prize/clickbait language and a suspicious short link, so the correct category is spam.",True
forum_551,Event reminder: Conference,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: forum.com/thread/123.,verify_code,False,False,reject,"This is a forum/community rules update with a thread link, not an authentication code. Correct category: forum.",True
updates_124,Address Update Required,Confirm for order #ORD-7729: account.com/address-confirm.,forum,False,False,reject,"This is not a forum/community email; it is an order-related informational notice asking to confirm an address, so the correct category is updates.",True
social_media_1272,New friend request from Mike Chen,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,True,True,accept,"This is a social network activity notification about a new friend request, so social_media is the correct category.",True
updates_1989,Community announcement: Pool closure,biometric login activated per your request. Learn: banking.com/statements.,updates,True,False,reject,"This is not a legitimate informational update; it mixes a community-style subject with a suspicious banking/login message, so the best fit is spam.",False
spam_844,Refund confirmation #R-2873-UK,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 555-0199.",spam,True,True,accept,"This is a deceptive payment-failure message using an urgent tone and suspicious short link, so spam is the correct category.",True
social_media_470,New follower: Sarah Johnson,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,True,True,accept,"This is a social network activity notification about a new follower/profile-related activity, so social_media is the best fit.",True
promotions_638,Double rewards points this weekend,Celebrate with 60% off entire purchase. Valid 24: example.com/8833 Code: FLASH60.,spam,False,False,reject,"This is a marketing discount offer with a promo code, so the correct category is promotions, not spam.",True
forum_1189,Warning: Violation in React Performance,"Thread: ""Discussion 386"" started by PixelArtist. Settings: wiki.site/page/789.",forum,True,True,accept,"This is a forum/community thread notification about a discussion, so forum is the correct category.",True
social_media_1466,Watch later: Recommended video,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,True,True,accept,"This is a social activity notification about shared memories/photos with a named person, which fits social_media.",True
spam_93,LinkedIn Connection Request,"Recruiter wants to connect: ""Hiring for $200k remote jobs"". Respond: linkedin-fake.jobs/connect/rec883.",spam,True,True,accept,"This is a deceptive LinkedIn-style connection request using a suspicious fake URL and unrealistic job lure, so spam is the best fit.",True
social_media_999,Your post got 15 new reactions,View profile: platform.com/users/sarah Accept/reject: platform.com/requests.,promotions,False,False,reject,"This is not a promotion; it’s a notification about activity on a user’s post/profile, so the correct category is social_media.",True
updates_747,Software update available (v5.0),We've updated our Privacy Policy. Review changes: banking.com/statements Effective Sep 1.,updates,True,True,accept,"This is an informational notice about a software/privacy policy update, so updates is the best fit.",True
spam_87,Crypto Investment Opportunity,Double your Bitcoin in 48hrs! Limited slots open: btc-double-now.crypto Risk-free guarantee.,spam,True,True,accept,"This is a deceptive get-rich-quick crypto scheme with unrealistic promises, so spam is the correct category.",True
forum_392,Warning: Violation in Python Coding Challenge,"You earned ""Achievement 1"" badge. View profile: forum.com/thread/123.",forum,True,True,accept,"This is a community/forum notification about a coding challenge badge and profile/thread activity, so forum is the best fit.",True
updates_1436,Safety recall: Model XZ-240,We've updated our Cookie Policy. Review changes: company.com/updates Effective Oct 5.,forum,False,False,reject,"This is not about a forum or community discussion; it is an informational policy notice, so the correct category is updates.",True
verify_code_543,Twitter withdrawal auth: 725084,Security code: 467569. Enter on sign-in page. Expires in 20 minutes. Not you? Contact support: no-reply@auth.com.,spam,False,False,reject,"This is a legitimate one-time security code for sign-in, so the correct category is verify_code, not spam.",True
forum_807,Event reminder: AMA with Industry Expert,"Thread ""Discussion 375"" moved from General to Support. Continue: forum.com/thread/123.",verify_code,False,False,reject,"This is a forum/community thread notification about a discussion being moved, not an authentication code. Correct category: forum.",True
social_media_805,1st anniversary on LinkedIn!,"Group ""Book Club"" invited you. RSVP: platform.com/events/workshop.",updates,False,False,reject,"This is a social/network activity invitation (LinkedIn group event invite), so the correct category is social_media, not updates.",True
verify_code_2101,Email binding code: 417380,Use this code: 493549 to complete sign-in. Expires in 10 minutes.,spam,False,False,reject,"This is a legitimate one-time sign-in verification code, so the correct category is verify_code, not spam.",True
promotions_664,"Refer friends, get $15 credit","Hello valued member, enjoy Free shipping all week. Shop now: example.com/2131 Expires {date}.",social_media,False,False,reject,"This is a marketing offer with referral credit, free shipping, and a shop link, so the correct category is promotions, not social_media.",True
social_media_1485,Watch later: Recommended photo,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,True,True,accept,"This is a social network activity notification about a shared/recommended photo album, so social_media is the best fit.",True
promotions_1999,Member Exclusive: Buy one get one free,Celebrate with 70% off entire purchase. Valid 24: example.com/6581 Code: FLASH60.,spam,False,False,reject,"This is a marketing offer with discounts and a promo code, so the correct category is promotions, not spam.",True
verify_code_1652,Temporary PIN: 313699,Security code: 776979. Enter on sign-in page. Expires in 5 minutes. Not you? Contact support: support@service.com.,spam,False,False,reject,"This is a legitimate one-time security code email, so the correct category is verify_code, not spam.",True
forum_1178,Moderation notice: Community Guidelines update,"Trending: ""webdev"" (142 comments). View: forum.com/thread/123.",updates,False,False,reject,"This is about a forum/community thread and guideline notice, so the correct category is forum, not updates.",True
forum_194,Archive Deletion Request Received,"Post anonymization scheduled per GDPR compliance: forum.com/data-requests/DL-5566. Process completion expected within 30 days. 1,200 posts affected. Opt-out window open for 7 days.",updates,False,False,reject,"This is a forum-related data request notice affecting forum posts, so the best category is forum, not updates.",True
social_media_1079,Watch later: Recommended photo,story from Tokyo received 678 likes and 67 comments. See insights: platform.com/analytics/content.,social_media,True,True,accept,"This is a social platform activity notification about post engagement (likes, comments, insights), so social_media is the best fit.",True
verify_code_191,Media Embargo Release: 398012,Press release authorization code: 398012. Confirms scheduled publication at 9AM ET. Breaking embargo incurs maximum contractual penalty. Multimedia assets distributed upon entry.,verify_code,True,False,reject,This is not an authentication or login verification code; it is a press/media embargo notice with a release authorization for publication timing. The correct category is updates.,False
spam_1340,Your Netflix was used on new device,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.",spam,True,True,accept,"The email uses urgent scare tactics and suspicious links/contact info to trick the recipient, so spam is the correct category.",True
social_media_1861,News: David Kim started new position,"Your group ""Photography Group"" is live streaming. Join: platform.com/streaming/event.",spam,False,False,reject,"This is a social/community activity notification about a group livestream, not a deceptive or fraudulent message. Correct category: forum.",True
spam_1930,IRS Tax Refund Approval #RP-3344,Invoice INV-6789 for $1000 ready. View: bit.ly/fakeprize Dispute within 24hrshrs.,spam,True,True,accept,"This is a deceptive scam-style message using an IRS refund lure, fake invoice language, urgency, and a suspicious shortened link, so spam is the correct category.",True
updates_116,Order Shipped: #ORD-7725,UPS tracking: 1Z999AA103456789. ETA Aug 28: store.com/track/ORD7725.,verify_code,False,False,reject,"This is an order shipping/tracking notification, so the correct category is updates, not verify_code.",True
social_media_823,Watch later: Recommended story,"""College reunion photos"" - view album: platform.com/memories/beach.",social_media,True,True,accept,"This is a social activity notification about viewing shared photos/memories on a platform, so social_media is the best fit.",True
promotions_1625,FLASH SALE: 80% off tools,Deal ends {time}! {items} at lowest prices. Shop now: example.com/7302 Use code: FLASH60.,promotions,True,True,accept,"This is a marketing discount offer with a sale, promo code, and shop link, so promotions is the correct category.",True
verify_code_1516,Temporary security pass: 986632,"Use 884383 as your verification code. Device: Samsung Galaxy S22. Location: Seattle, WA.",verify_code,True,True,accept,"This email contains a one-time verification code for authentication, so verify_code is the correct category.",True
spam_1043,Google investment opportunity 300% ROI,"Dear Winner, Your email won $5000 in our annual lottery! Click here: bit.ly/fakeprize. Claim before 6hrs expire. Unsubscribe: remove@spam.com",forum,False,False,reject,"This is not a forum message; it is a fraudulent lottery/investment scam with a suspicious link, so the correct category is spam.",True
social_media_52,Neural Art Collective Exhibition: Apply,AI-generated art for Tokyo gallery. Submit: neuroart.space/galaxy Requires GAN model explanation.,updates,False,False,reject,"This is a promotional solicitation to apply/submit to an exhibition, so the correct category is promotions, not updates.",True
updates_1167,Your order #2468 has delivered,Items cancelled via FedEx (tracking: 123456789012). Estimated delivery: Dec 20. Track: company.com/updates.,forum,False,False,reject,"This is an order/shipping status notification, not a community discussion. The correct category is updates.",True
forum_360,New featured guide: gaming,"You earned ""Achievement 3"" badge. View profile: forum.com/thread/123.",forum,True,True,accept,"This is a community/forum notification about a badge and profile/thread activity, so forum is the best fit.",True
