id,subject,body,text,category,category_id,accepted,reason
promotions_801,Early access: Holiday deals start now,"Hello valued member, enjoy Buy one get one free. Shop now: example.com/9547 Expires {date}.","Early access: Holiday deals start now Hello valued member, enjoy Buy one get one free. Shop now: example.com/9547 Expires {date}.",updates,4,false,"This email is promotional because it advertises a holiday sale with “buy one get one free” and urges the recipient to shop now. The correct classification is promotions, not updates."
spam_2178,Refund confirmation #RP-3344,Your package couldn't be delivered. Tracking# ZX-902. Update now: scam-delivery.com Do not ignore!,Refund confirmation #RP-3344 Your package couldn't be delivered. Tracking# ZX-902. Update now: scam-delivery.com Do not ignore!,spam,3,true,"This email is spam because it uses a fake delivery/refund notice with urgent language to pressure the recipient into clicking a suspicious link. The mismatch between the subject and body, plus the generic tracking message and “Do not ignore!” phrasing, are common phishing indicators."
updates_1429,"Scheduled maintenance: Aug 15, 2-4AM PST",Confirm/cancel: company.com/updates Email (same building).,"Scheduled maintenance: Aug 15, 2-4AM PST Confirm/cancel: company.com/updates Email (same building).",forum,0,false,"This email is not a forum message because it announces a scheduled maintenance event and provides a confirm/cancel update link, rather than containing a discussion thread or group conversation. The correct classification is updates."
social_media_640,Your post is featured on #FoodChallenge,"Sarah: ""Check this out"" Lisa: ""Weather looks great!"" Reply: platform.com/messages/group.","Your post is featured on #FoodChallenge Sarah: ""Check this out"" Lisa: ""Weather looks great!"" Reply: platform.com/messages/group.",promotions,1,false,"This email is a social media notification because it highlights activity around a post and includes comments/replies from other users. It should be classified as social_media, not promotions, since it is about user interaction rather than marketing or advertising."
verify_code_214,Email Change Token: 778866,Confirm new email address. Valid 30 min.,Email Change Token: 778866 Confirm new email address. Valid 30 min.,promotions,1,false,This email is not promotional; it contains a one-time token to confirm an email address change and is valid for 30 minutes. The correct classification is verify_code.
promotions_303,Special offer just for you,Celebrate with 30% off entire purchase. Valid 72: example.com/6250 Code: VIP25.,Special offer just for you Celebrate with 30% off entire purchase. Valid 72: example.com/6250 Code: VIP25.,verify_code,5,false,"This email is a marketing promotion because it advertises a 30% discount and includes a promo code for a purchase. It should be classified as promotions, not verify_code, since the code is for a sales offer rather than identity verification."
promotions_118,Student Exclusive: 30% Off Software,Verify .edu email: softwarerepo.com/student Code: STUDENT30.,Student Exclusive: 30% Off Software Verify .edu email: softwarerepo.com/student Code: STUDENT30.,promotions,1,true,"This email is a promotional offer because it advertises a student discount and provides a coupon code to encourage a purchase. It is marketing content, not a personal, transactional, or informational message."
social_media_153,Event Reminder: Meetup Tomorrow,"""UX Designers Network"" 6PM. Location updated: social.com/events/ux-meetup.","Event Reminder: Meetup Tomorrow ""UX Designers Network"" 6PM. Location updated: social.com/events/ux-meetup.",social_media,2,true,"This email is a meetup reminder for a community/network event, which fits social or community-platform activity rather than transactional or personal correspondence. The event-focused content and group/network context support the social_media category."
forum_335,Mod application open for Technical Support,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: wiki.site/page/789.,Mod application open for Technical Support Revised rules effective immediately. Key changes: citation requirements for news posts. Review: wiki.site/page/789.,forum,0,true,"This email discusses moderation rules and a mod application for a community space, which is typical of forum administration and governance. The content is about posting guidelines and moderator-related updates rather than personal, transactional, or marketing communication."
forum_783,[ANSWERED] Your query in Technical Support,{event} starts {time}. Prepare: forum.com/thread/123.,[ANSWERED] Your query in Technical Support {event} starts {time}. Prepare: forum.com/thread/123.,forum,0,true,"This email is a forum-style notification because it references a discussion thread and provides a link to continue or review the conversation. It is not a direct personal message or transactional update, but an automated update about a posted query."
forum_947,Forum digest: photography discussions,thread per report #4086. Details: support.site/ticket/456.,Forum digest: photography discussions thread per report #4086. Details: support.site/ticket/456.,forum,0,true,"This email is a forum digest summarizing discussion threads, which matches the forum category. The subject explicitly says “Forum digest,” and the body references a thread and report details rather than a direct personal or transactional message."
updates_339,Safety recall: Model AB-500,"Car Rental Main pool closed Aug 20-22 for maintenance, Sep 1, midnight-2AM. {assignment} confirmed. Manage booking: service.com/status.","Safety recall: Model AB-500 Car Rental Main pool closed Aug 20-22 for maintenance, Sep 1, midnight-2AM. {assignment} confirmed. Manage booking: service.com/status.",updates,4,true,"This email provides informational notices about maintenance closures and a confirmed assignment/booking status. It does not request action beyond optional booking management, so it fits the updates category."
social_media_899,Lisa Rodriguez mentioned you in a comment,"Mike: ""Great event today!"" Emily: ""Count me in!"" Reply: platform.com/messages/group.","Lisa Rodriguez mentioned you in a comment Mike: ""Great event today!"" Emily: ""Count me in!"" Reply: platform.com/messages/group.",social_media,2,true,"This email is a social notification because it informs the recipient that people mentioned or commented in a group-style conversation. The content is centered on social interaction and replies, not transactions, promotions, or personal correspondence."
verify_code_1456,Email binding code: 467569,Enter 603613 to verify password reset. Session will auto-cancel after 5 invalid attempts.,Email binding code: 467569 Enter 603613 to verify password reset. Session will auto-cancel after 5 invalid attempts.,promotions,1,false,This email is not promotional; it contains a one-time verification code for a password reset and mentions session validation limits. The correct classification is verify_code.
spam_1709,Your Microsoft subscription suspended,PayPal requires immediate password update. Click: phishing-site.com Failure within 6hrshrs causes lockout.,Your Microsoft subscription suspended PayPal requires immediate password update. Click: phishing-site.com Failure within 6hrshrs causes lockout.,forum,0,false,This is not a forum message; it is a phishing-style spam email using urgent account suspension and password update language to trick the recipient into clicking a link. The correct classification is spam.
promotions_1564,Free shipping With $50 purchase,Your favorite items are back. Don't wait: example.com/1144 Use code BIRTHDAY for 80% off.,Free shipping With $50 purchase Your favorite items are back. Don't wait: example.com/1144 Use code BIRTHDAY for 80% off.,updates,4,false,"This email is promotional because it advertises products, includes a discount code, and encourages a purchase with free shipping and 80% off. The correct classification is promotions, not updates."
spam_2218,PayPal: Password expiration,"Samsung Galaxy logged in 48hrs minutes ago. Verify: phishing-site.com If not you, secure account.","PayPal: Password expiration Samsung Galaxy logged in 48hrs minutes ago. Verify: phishing-site.com If not you, secure account.",updates,4,false,"This should be classified as spam, not updates, because it uses a vague security alert and urgent “verify/secure account” language with a suspicious link to prompt immediate action. Legitimate update emails typically provide clear account context and come from a recognizable, trustworthy sender rather than a generic phishing-style message."
verify_code_2075,Temporary security pass: 321516,PIN 528905 required for login confirmation on LinkedIn.,Temporary security pass: 321516 PIN 528905 required for login confirmation on LinkedIn.,verify_code,5,true,"This email contains a one-time PIN/security passcode used to confirm a login, which is exactly a verification code message. The subject and body both provide temporary codes for authentication rather than promotional or conversational content."
forum_1266,"New thread in ""Technical Support"" matches alert",{event} starts {time}. Prepare: support.site/ticket/456.,"New thread in ""Technical Support"" matches alert {event} starts {time}. Prepare: support.site/ticket/456.",social_media,2,false,"This is not a social media notification; it’s an alert about a new thread in a “Technical Support” discussion area, which is characteristic of a forum. The correct classification is forum."
spam_385,New message from attractive single,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.","New message from attractive single Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.",forum,0,false,"This is not a forum message; it’s a deceptive phishing/spam email using urgent payment-failure language, a suspicious shortened link, and a fake support number to trick the recipient. The correct classification is spam."
forum_2174,"New reply in ""React Performance""","Thread ""Discussion 172"" moved from General to Support. Continue: wiki.site/page/789.","New reply in ""React Performance"" Thread ""Discussion 172"" moved from General to Support. Continue: wiki.site/page/789.",forum,0,true,"This email is a notification about activity in an online discussion thread, including a reply and a thread move between forum sections. That makes it a forum/community update rather than a personal, transactional, or marketing email."
verify_code_716,New device approval: 299932,"Token: 299932 expires at 14:30 GMT. For support, contact no-reply@auth.com.","New device approval: 299932 Token: 299932 expires at 14:30 GMT. For support, contact no-reply@auth.com.",verify_code,5,true,"This email contains a one-time token with an expiration time, which is characteristic of a verification or authentication code message. It does not include broader account details or promotional content, so verify_code is the correct category."
verify_code_2234,Twitter verification: 986632,"For login confirmation, enter: 947444. Do not share this number.","Twitter verification: 986632 For login confirmation, enter: 947444. Do not share this number.",verify_code,5,true,"This email contains a one-time login confirmation code and explicitly says not to share it, which is characteristic of a verification message. Therefore, the verify_code category is correct."
spam_2183,URGENT! Claim your $1000 prize now!!!,See who messaged you on Facebook! View now: bit.ly/fakeprize Special offer: 75% off membership.,URGENT! Claim your $1000 prize now!!! See who messaged you on Facebook! View now: bit.ly/fakeprize Special offer: 75% off membership.,spam,3,true,"This email is spam because it uses deceptive, sensational language like “URGENT” and “Claim your $1000 prize” to lure the recipient into clicking a suspicious shortened link. It also includes unrelated promotional offers and impersonates social media activity, which are common spam tactics."
promotions_25,Flash Deal: 4K Camera $299 (Was $599),Only 12 units left at this price. Shop now: electronicsoutlet.com/clearance/cam489 Clearance final.,Flash Deal: 4K Camera $299 (Was $599) Only 12 units left at this price. Shop now: electronicsoutlet.com/clearance/cam489 Clearance final.,promotions,1,true,"This email is a promotional marketing message because it advertises a discounted product, emphasizes scarcity (“Only 12 units left”), and includes a shopping link to drive a purchase. It is not a personal or transactional email; its primary purpose is sales promotion."
updates_1607,Your order #9876 has cancelled,Yesterday's network connectivity problem fixed. All systems operational. Apologies for inconvenience.,Your order #9876 has cancelled Yesterday's network connectivity problem fixed. All systems operational. Apologies for inconvenience.,spam,3,false,"This is not spam because it provides a legitimate service status update about a resolved network connectivity issue and system restoration. The correct classification is updates, since it informs recipients about an operational change rather than advertising or unsolicited content."
social_media_385,Live now: Workshop keynote,View profile: platform.com/users/sarah Accept/reject: social.com/friends/pending.,Live now: Workshop keynote View profile: platform.com/users/sarah Accept/reject: social.com/friends/pending.,social_media,2,true,"This email is a social media notification because it references a user profile and a pending friend request action. Those are typical platform engagement features, not personal correspondence or transactional content."
promotions_1133,24-hour sale: Extra 20% off clearance,"As our loyal customer, get exclusive $70 off $75+: example.com/2939 Offer code: VIP25.","24-hour sale: Extra 20% off clearance As our loyal customer, get exclusive $70 off $75+: example.com/2939 Offer code: VIP25.",social_media,2,false,"This email is a marketing offer advertising a limited-time sale, discount code, and purchase incentive, which makes it promotional content rather than a social media notification. The correct classification is promotions."
verify_code_1811,Login code: 404583 (do not reply),"Enter 799237 to confirm account recovery. If you didn't request this, ignore.","Login code: 404583 (do not reply) Enter 799237 to confirm account recovery. If you didn't request this, ignore.",verify_code,5,true,"This email contains a one-time verification code used to confirm account recovery, which is exactly what the verify_code category covers. It is not a conversational or informational message, but a security/authentication code delivery."
updates_1447,Important: Phone number changed,password encryption activated per your request. Learn: banking.com/statements.,Important: Phone number changed password encryption activated per your request. Learn: banking.com/statements.,updates,4,true,The proposed category 'updates' is correct because the email content matches the expected patterns of a updates message.
forum_1364,Forum Contest: Photo Contest,"Thread ""Discussion 339"" moved from General to Support. Continue: wiki.site/page/789.","Forum Contest: Photo Contest Thread ""Discussion 339"" moved from General to Support. Continue: wiki.site/page/789.",verify_code,5,false,"This is not a verification-code email because it contains no one-time code or login/authentication request. It’s a forum notification about a thread being moved and continued, so the correct classification is forum."
spam_1577,Your Netflix was used on new device,Unusual login detected from Russia. Secure account: bit.ly/fakeprize NOW or account suspended.,Your Netflix was used on new device Unusual login detected from Russia. Secure account: bit.ly/fakeprize NOW or account suspended.,spam,3,true,The proposed category 'spam' is correct because the email content matches the expected patterns of a spam message.
verify_code_1844,Identity verification required: 229149,"Token: 585851 expires at 09:45 EST. For support, contact security@company.com.","Identity verification required: 229149 Token: 585851 expires at 09:45 EST. For support, contact security@company.com.",forum,0,false,"This email is not a forum message; it contains a one-time identity verification token with an expiration time, which is used to confirm a login or account action. The correct classification is verify_code."
verify_code_85,Confirm Identity: 543289,Enter 543289 to prove ownership. Session expires in 20 minutes.,Confirm Identity: 543289 Enter 543289 to prove ownership. Session expires in 20 minutes.,social_media,2,false,This email is not related to social media activity; it contains a one-time verification code (“543289”) and an expiration window for confirming identity. The correct classification is verify_code.
social_media_1651,New friend request from Sarah Johnson,"12 friends checked in at ""Downtown Cafe"". See photos and menu: platform.com/locations/venue.","New friend request from Sarah Johnson 12 friends checked in at ""Downtown Cafe"". See photos and menu: platform.com/locations/venue.",social_media,2,true,"This email is a social media notification because it mentions a new friend request and friends’ activity updates. Those are typical platform engagement messages, not personal correspondence or transactional content."
promotions_671,FLASH SALE: 30% off tools,"Hello valued member, enjoy Extra 20% off clearance. Shop now: example.com/5159 Expires {date}.","FLASH SALE: 30% off tools Hello valued member, enjoy Extra 20% off clearance. Shop now: example.com/5159 Expires {date}.",promotions,1,true,"This email is a marketing message promoting discounts and urging the recipient to shop now. It advertises a sale with percentage-off offers and an expiration date, which clearly fits the promotions category."
forum_444,[ANSWERED] Your query in Technical Support,User: WebDev2024 thread. forum.com/thread/123.,[ANSWERED] Your query in Technical Support User: WebDev2024 thread. forum.com/thread/123.,spam,3,false,"This is not spam; it’s a forum-related notification about a user’s technical support thread being answered, with a reference to the discussion link. The correct classification is forum."
social_media_1847,New friend request from Sarah Johnson,"15 friends checked in at ""Downtown Cafe"". See photos and menu: social.com/places/cafe.","New friend request from Sarah Johnson 15 friends checked in at ""Downtown Cafe"". See photos and menu: social.com/places/cafe.",social_media,2,true,"This email is a social media notification because it announces a new friend request and mentions friends’ activity. Those are typical platform engagement updates, not personal correspondence or transactional content."
social_media_878,Lisa Rodriguez liked your post,"15 friends checked in at ""Tech Hub"". See photos and menu: platform.com/locations/venue.","Lisa Rodriguez liked your post 15 friends checked in at ""Tech Hub"". See photos and menu: platform.com/locations/venue.",forum,0,false,"This email is a social media notification about engagement activity (“Lisa Rodriguez liked your post” and friends checking in), which is characteristic of a social_media message. It is not a forum message, since it does not involve discussion threads, posts in a community board, or reply notifications."
spam_743,Inheritance claim from late relative,"Dear Winner, Your email won $500 in our annual lottery! Click here: bit.ly/fakeprize. Claim before 6hrs expire. Unsubscribe: stop@scam.net","Inheritance claim from late relative Dear Winner, Your email won $500 in our annual lottery! Click here: bit.ly/fakeprize. Claim before 6hrs expire. Unsubscribe: stop@scam.net",spam,3,true,This email is spam because it makes a fake prize claim (“won $500”) and uses urgent language plus a suspicious shortened link to pressure the recipient into clicking. These are common phishing/scam indicators and are unrelated to any legitimate inheritance matter suggested by the subject.
promotions_1628,72-hour sale: Extra 20% off clearance,Final hours of biggest sale. Up to 80% off: example.com/4086 Ends {time}.,72-hour sale: Extra 20% off clearance Final hours of biggest sale. Up to 80% off: example.com/4086 Ends {time}.,promotions,1,true,"This email is a promotional marketing message because it advertises a limited-time sale with discounts and a shopping link. The subject and body focus on encouraging a purchase, which fits the promotions category."
spam_118,Expired Domain Notice,yourwebsite.com will be deleted. Renew: domain-renew-urgent.tech Code: WEB882.,Expired Domain Notice yourwebsite.com will be deleted. Renew: domain-renew-urgent.tech Code: WEB882.,updates,4,false,"This should be classified as spam, not updates, because it uses an urgent domain-expiration warning and a suspicious renewal link/code to pressure the recipient into taking action. It is a deceptive solicitation rather than a legitimate account or service update."
verify_code_735,New device approval: 202896,"Token: 416060 expires at 09:45 EST. For support, contact security@company.com.","New device approval: 202896 Token: 416060 expires at 09:45 EST. For support, contact security@company.com.",updates,4,false,"The proposed category is incorrect because this email provides a one-time token and expiration time for approving a new device, which is used for identity verification. The correct classification is verify_code."
forum_1122,AMA session: AI Researcher,{event} starts {time}. Prepare: wiki.site/page/789.,AMA session: AI Researcher {event} starts {time}. Prepare: wiki.site/page/789.,social_media,2,false,"This is not a social media notification; it’s an announcement for an AMA discussion thread/event, which fits a forum-style community post. The correct classification is forum."
updates_1273,Important: Phone number changed,"Restaurant Main pool closed Aug 20-22 for maintenance, Dec 20, 3-5AM GMT. {assignment} confirmed. Manage booking: service.com/status.","Important: Phone number changed Restaurant Main pool closed Aug 20-22 for maintenance, Dec 20, 3-5AM GMT. {assignment} confirmed. Manage booking: service.com/status.",social_media,2,false,"This email is not about social networking or platform interactions, so classifying it as social_media is incorrect. It provides booking-related status information and a maintenance notice, so the correct classification is updates."
verify_code_394,New device approval: 321591,Code: 421450 for login confirmation. Do not share. Requested from IP 203.0.113.5 at 09:45 EST.,New device approval: 321591 Code: 421450 for login confirmation. Do not share. Requested from IP 203.0.113.5 at 09:45 EST.,verify_code,5,true,"This email contains a one-time login confirmation code and warns not to share it, which is characteristic of a verification code message. The subject about new device approval further confirms it is for account/device verification."
forum_370,Forum maintenance: complete,thread per report #7665. Details: support.site/ticket/456.,Forum maintenance: complete thread per report #7665. Details: support.site/ticket/456.,forum,0,true,"This email is about forum maintenance and references a specific thread/report, which fits forum-related activity. The subject and body both indicate it concerns a forum thread update rather than a general support or personal message."
spam_1503,Refund confirmation #R-23948,"Hi, following up about your Google application. Rates dropped to 1.2%! Apply now: bit.ly/fakeprize. STOP to opt out.","Refund confirmation #R-23948 Hi, following up about your Google application. Rates dropped to 1.2%! Apply now: bit.ly/fakeprize. STOP to opt out.",spam,3,true,"The message is unsolicited promotional content pushing a suspicious loan/application offer with a shortened link and generic marketing language. It is unrelated to the subject line about a refund confirmation, which is a common spam tactic to trick recipients into opening the message."
updates_1463,Community announcement: New policy,"Car Rental Main pool closed Aug 20-22 for maintenance, Aug 15, midnight-2AM. {assignment} confirmed. Manage booking: banking.com/statements.","Community announcement: New policy Car Rental Main pool closed Aug 20-22 for maintenance, Aug 15, midnight-2AM. {assignment} confirmed. Manage booking: banking.com/statements.",updates,4,true,"This email provides informational notices about a temporary pool closure for maintenance and a confirmed assignment, without requesting action beyond optional booking management. That makes it a routine status/announcement message, which fits the updates category."
