id,subject,body,expected_category,predicted_category,classifier_reason,exact_match
promotions_1253,Anniversary Special: Buy one get one free,Your favorite items are back. Don't wait: example.com/1208 Use code SAVE50 for 40% off.,promotions,promotions,"The email advertises a sales offer with discount language, a promo code, and a buy-one-get-one-free deal.",True
promotions_1108,"Refer friends, get $15 credit",Discover {items}. Shop new styles: example.com/5483 Code FLASH60 for extra 40% off.,promotions,promotions,"The email advertises shopping deals, referral credit, and a discount code, which are clear marketing promotion elements.",True
verify_code_1628,Temporary security pass: 983866,"For account verification, enter: 229149. Do not share this number.",verify_code,verify_code,The email contains a one-time security code for account verification and instructs the recipient not to share it.,True
updates_71,Digital Twin City Infrastructure Scan,CityModel_2024_V2 completed. Point cloud access: urban-simulation.data API documentation.,updates,updates,"This appears to be a system or project status notification about a completed infrastructure scan with access details, not a promotion or social/forum message.",True
verify_code_515,New device approval: 383921,"Enter 229149 to confirm password reset. If you didn't request this, ignore.",verify_code,verify_code,"The email contains a one-time code to confirm a password reset, which is a verification/security action.",True
forum_1900,Mod application open for Book Club,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: support.site/ticket/456.,forum,forum,"The message references a book club moderator application and revised posting rules, which are typical of a discussion group or online community update.",True
promotions_180,Elite Tier Upgrade: $100 Welcome Bonus,"New Platinum members receive instant credit: loyaltyprogram.com/upgrade-offer. Enjoy complimentary shipping, extended returns, and personal shopper service. Status match available.",promotions,promotions,"The email advertises a membership upgrade with a welcome bonus and additional perks, which is a marketing offer.",True
spam_976,Amazon investment opportunity 300% ROI,"Immediate action required! Your subscription payment failed. Update payment: scam-delivery.com Or call ""support"": 888-SCAM.",spam,spam,"The email uses urgent scare tactics and a suspicious non-Amazon link/phone number to trick the recipient, which is characteristic of phishing spam.",True
promotions_793,Early access: Clearance event start now,Celebrate with 50% off entire purchase. Valid 72: example.com/3311 Code: BIRTHDAY.,promotions,promotions,"The email advertises a limited-time 50% discount with a promo code, which is a clear marketing offer.",True
verify_code_1969,Temporary PIN: 404583,Use this code: 907472 to complete sign-in. Expires in 10 minutes.,verify_code,verify_code,"The email contains a temporary sign-in PIN/verification code with an expiration time, indicating a one-time authentication message.",True
verify_code_1624,Twitter Authenticator: 426706,PIN 748435 required for account verification on Microsoft.,verify_code,verify_code,"The email contains one-time PIN codes for account verification, which is characteristic of authentication or login verification messages.",True
social_media_1272,New friend request from Mike Chen,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,social_media,This is a social-network-style notification about a new friend request and shared memory/album content.,True
updates_1989,Community announcement: Pool closure,biometric login activated per your request. Learn: banking.com/statements.,updates,spam,"The message is suspiciously mismatched, combining a community announcement subject with banking-related content, which suggests a phishing or junk email attempt.",False
spam_844,Refund confirmation #R-2873-UK,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 555-0199.",spam,spam,"The email uses urgent language and a suspicious shortened link to pressure the recipient into updating payment information, which is characteristic of phishing or scam spam.",True
social_media_470,New follower: Sarah Johnson,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,social_media,This is a social network notification about a new follower and shared photo album activity.,True
forum_1189,Warning: Violation in React Performance,"Thread: ""Discussion 386"" started by PixelArtist. Settings: wiki.site/page/789.",forum,forum,"The email references a discussion thread started by a user and points to a wiki/forum page, which matches forum or online group activity.",True
social_media_1466,Watch later: Recommended video,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,social_media,"This is a personalized notification about shared memories and an album from a social-style platform, which fits social media updates.",True
spam_93,LinkedIn Connection Request,"Recruiter wants to connect: ""Hiring for $200k remote jobs"". Respond: linkedin-fake.jobs/connect/rec883.",spam,spam,This appears to be a suspicious unsolicited message impersonating LinkedIn with a misleading high-salary lure and a dubious external link.,True
updates_747,Software update available (v5.0),We've updated our Privacy Policy. Review changes: banking.com/statements Effective Sep 1.,updates,updates,"This is a system-style notification about a software/privacy policy update rather than a promotional offer, social message, forum post, or verification code.",True
spam_87,Crypto Investment Opportunity,Double your Bitcoin in 48hrs! Limited slots open: btc-double-now.crypto Risk-free guarantee.,spam,spam,"The email makes an unrealistic cryptocurrency profit promise with scam-like language and a suspicious link, which is characteristic of unsolicited spam or fraud.",True
forum_392,Warning: Violation in Python Coding Challenge,"You earned ""Achievement 1"" badge. View profile: forum.com/thread/123.",forum,forum,"The email references a badge and profile/thread link on a forum-style site, indicating a community or discussion platform notification.",True
social_media_1485,Watch later: Recommended photo,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,social_media,This is a social network-style photo memory/album notification referencing a contact and prompting the user to view shared media.,True
social_media_1079,Watch later: Recommended photo,story from Tokyo received 678 likes and 67 comments. See insights: platform.com/analytics/content.,social_media,social_media,"This is a social-style notification about engagement on a posted photo, including likes, comments, and content insights.",True
verify_code_191,Media Embargo Release: 398012,Press release authorization code: 398012. Confirms scheduled publication at 9AM ET. Breaking embargo incurs maximum contractual penalty. Multimedia assets distributed upon entry.,verify_code,verify_code,The email centers on a one-time authorization code used to confirm a scheduled press release publication.,True
spam_1340,Your Netflix was used on new device,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.",spam,spam,"The email uses urgent scare tactics and a suspicious shortened link with a fake support number, indicating a phishing or scam message rather than a legitimate account update.",True
spam_1930,IRS Tax Refund Approval #RP-3344,Invoice INV-6789 for $1000 ready. View: bit.ly/fakeprize Dispute within 24hrshrs.,spam,spam,"The email uses a fake IRS/tax refund lure, an urgent invoice/dispute message, and a suspicious shortened link, which are strong indicators of phishing or scam spam.",True
social_media_823,Watch later: Recommended story,"""College reunion photos"" - view album: platform.com/memories/beach.",social_media,social_media,"The email highlights personal photos and a view-album link, which is characteristic of a social platform notification or content recommendation.",True
promotions_1625,FLASH SALE: 80% off tools,Deal ends {time}! {items} at lowest prices. Shop now: example.com/7302 Use code: FLASH60.,promotions,promotions,"This email advertises a time-limited sale with discount language, a promo code, and a shopping link, which fits marketing promotions.",True
verify_code_1516,Temporary security pass: 986632,"Use 884383 as your verification code. Device: Samsung Galaxy S22. Location: Seattle, WA.",verify_code,verify_code,"The email provides a one-time verification code for security/login verification, including device and location details.",True
forum_360,New featured guide: gaming,"You earned ""Achievement 3"" badge. View profile: forum.com/thread/123.",forum,forum,This is a forum-style notification about a badge/achievement and a profile/thread update on forum.com.,True
